0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
"Let k be the number of real solutions of the equation e^x + x - 2 = 0 in the interval [0, 1], and let n be the number of real solutions that are not in [0, 1]. Which of the following is true?",k = 0 and n = 1,k = 1 and n = 0,k = n = 1,k > 1,B,False,9.082189940164363e-65,2.943336520485787e-23,1.0,1.0220920349284258e-54
"Up to isomorphism, how many additive abelian groups G of order 16 have the property that x + x + x + x = 0 for each x in G ?",0,1,2,3,D,True,4.0542208224442616e-69,3.0701602927130998e-77,5.740996712058299e-79,1.0
"Suppose P is the set of polynomials with coefficients in Z_5 and degree less than or equal to 7. If the operator D sends p(x) in P to its derivative p′(x), what are the dimensions of the null space n and range r of D?",n = 1 and r = 6,n = 1 and r = 7,n = 2 and r = 5,n = 2 and r = 6,D,False,2.3768160712857618e-73,1.0,5.408586365657826e-76,1.2401572482322364e-27
The shortest distance from the curve xy = 8 to the origin is,4,8,16,2sqrt(2),A,False,1.205426266077897e-12,0.9999916711893562,8.328809438008843e-06,1.5964276459802026e-16
"There are 25 suitcases, 5 of which are damaged. Three suitcases are selected at random. What is the probability that exactly 2 are damaged?",2/69,1/30,2/23,12/125,C,False,4.453042419119377e-28,6.293721950397693e-23,1.1731112178960905e-30,1.0
"Let (Z_{10} , +, x) be the ring of integers modulo 10, and let S be the subset of Z_{10} represented by {0, 2, 4, 6, 8}. Which of the following statements is FALSE?","(S, +, x) is closed under addition modulo 10.","(S, +, x) is closed under multiplication modulo 10.","(S, +, x) has an identity under addition modulo 10.","(S, +, x) has no identity under multiplication modulo 10.",D,False,5.286904465531005e-22,7.268744898008727e-24,0.9999999987957178,1.2042822061212581e-09
"A ladder 9 meters in length is leaning against a vertical wall on level ground. As the bottom end of the ladder is moved away from the wall at a constant rate of 2 meters per second, the top end slides downward along the wall. How fast, in meters per second, will the top end of the ladder be sliding downward at the moment the top end is 3 meters above the ground?",12*sqrt(2),6*sqrt(2),4*sqrt(2),1/(2*sqrt(2)),C,False,4.284672159029882e-37,1.0,9.99746730032153e-34,7.923817043079599e-39
Consider a segment of length 10. Points A and B are chosen randomly such that A and B divide the segment into three smaller segments. What is the probability that the three smaller segments could form the sides of a triangle?,0,10%,25%,50%,C,False,1.0082301830876148e-70,1.0,2.4281069131488097e-67,5.964197856636678e-49
"Let V be a finite-dimensional real vector space and let P be a linear transformation of V such that P^2 = P. Which of the following must be true?
I. P is invertible.
II. P is diagonalizable.
III. P is either the identity transformation or the zero transformation.",None,I only,II only,III only,C,True,5.2709095944035275e-86,1.4821027489533473e-40,1.0,3.473399172012786e-80
Which of the following is true?,Every compact space is complete,Every complete space is compact,Neither (a) nor (b)., Both (a) and (b).,A,False,2.933958928133632e-57,0.9999999999999833,2.5033045617106088e-57,1.674711254103795e-14
A discrete graph is complete if there is an edge connecting any pair of vertices. How many edges does a complete graph with 10 vertices have?,10,20,25,45,D,False,7.831445969902561e-68,1.7844816812231137e-68,1.0,1.0419224287067085e-48
