dataset,accuracy
abstract_algebr,0.28
anatom,0.274
astronom,0.211
business_ethic,0.28
clinical_knowledg,0.272
college_biolog,0.208
college_chemistr,0.2
college_computer_scienc,0.27
college_mathematic,0.25
college_medicin,0.225
college_physic,0.235
computer_securit,0.25
conceptual_physic,0.272
econometric,0.228
electrical_engineerin,0.214
elementary_mathematic,0.246
formal_logi,0.206
global_fact,0.29
high_school_biolog,0.29
high_school_chemistr,0.266
high_school_computer_scienc,0.29
high_school_european_histor,0.224
high_school_geograph,0.242
high_school_government_and_politic,0.295
high_school_macroeconomic,0.254
high_school_mathematic,0.289
high_school_microeconomic,0.265
high_school_physic,0.272
avg_value,0.2535
