dataset,accuracy
abstract_algebr,0.32
anatom,0.304
astronom,0.336
business_ethic,0.21
clinical_knowledg,0.279
college_biolog,0.188
college_chemistr,0.18
college_computer_scienc,0.33
college_mathematic,0.22
college_medicin,0.22
college_physic,0.216
computer_securit,0.28
conceptual_physic,0.221
econometric,0.254
electrical_engineerin,0.29
elementary_mathematic,0.257
formal_logi,0.143
global_fact,0.32
high_school_biolog,0.239
high_school_chemistr,0.266
high_school_computer_scienc,0.36
high_school_european_histor,0.218
high_school_geograph,0.253
high_school_government_and_politic,0.233
high_school_macroeconomic,0.244
high_school_mathematic,0.267
high_school_microeconomic,0.193
high_school_physic,0.258
avg_value,0.2535357142857143
